Input Size, Merge Sort Time, Insertion Sort Time
50, 0.00027761, 1.117e-05
100, 0.000509383, 4.60167e-05
150, 0.0006677, 7.08333e-05
200, 0.000850317, 0.000105333
250, 0.000904317, 0.000170767
300, 0.00098045, 0.000281883
350, 0.00107, 0.00042355
400, 0.001185, 0.000481483
450, 0.001275, 0.00064
500, 0.00144, 0.0007745
550, 0.001685, 0.000815
600, 0.001815, 0.0009015
650, 0.002005, 0.000978
700, 0.00213, 0.001005
750, 0.00241, 0.00112
800, 0.002465, 0.001295
850, 0.00267, 0.00142
900, 0.00277, 0.0016
950, 0.00299, 0.00182
1000, 0.003115, 0.002005
1050, 0.003385, 0.002215
1100, 0.003465, 0.00242
1150, 0.00364, 0.00262
1200, 0.00397, 0.00288
1250, 0.004155, 0.003095
1300, 0.00439, 0.00334
1350, 0.00466, 0.003605
1400, 0.00478, 0.003895
1450, 0.00494, 0.004145
1500, 0.00513, 0.004485
1550, 0.005355, 0.004795
1600, 0.00541, 0.005095
1650, 0.00561, 0.00542
1700, 0.00587, 0.00575
1750, 0.006065, 0.006065
1800, 0.00615, 0.006415
1850, 0.006515, 0.00685
1900, 0.006595, 0.007165
1950, 0.00677, 0.00755
2000, 0.006995, 0.00798
2050, 0.007115, 0.00836
2100, 0.007395, 0.00869
2150, 0.007485, 0.00911
2200, 0.007815, 0.00957
2250, 0.00804, 0.00999
2300, 0.00869, 0.010435
2350, 0.00906, 0.010945
2400, 0.008955, 0.0114
2450, 0.00893, 0.01186
2500, 0.00918, 0.012265
2550, 0.009415, 0.012815
2600, 0.009535, 0.01337
2650, 0.009795, 0.013835
2700, 0.010085, 0.014395
2750, 0.010315, 0.01501
2800, 0.010765, 0.015485
2850, 0.011035, 0.016
2900, 0.01145, 0.01666
2950, 0.01189, 0.01746
